#  试验概况 
台网,蒙特卡洛次数,成功,失败,3D误差>1km比例(%),严阈值成功(strict),补全兜底(completed)
原7台,300,300,0,10.416666666666668,298,2
20台加密,300,300,0,0.0,-,-

#  误差统计_原7台 
指标,均值,中位,95%分位,最大
水平误差(m),134.79352615675208,107.52559523089252,331.2581545020976,635.3971694484678
高程误差(m),454.529713357363,354.25778004913354,1195.9869002282342,1964.4787065959445
3D误差(m),485.79730984080527,373.91489368439727,1224.348663414286,2018.1502857756727
时刻误差(ms),522.5267874342942,394.48954044186735,1443.423772684013,2688.044913024944

#  误差统计_20台加密 
指标,均值,中位,95%分位,最大
水平误差(m),60.19922986240387,54.75846610490845,129.00245897921695,216.01013039420306
高程误差(m),168.94659947633426,136.82768588949875,449.219340075152,796.8893483787415
3D误差(m),186.61461355593863,148.62920873029697,456.9458670636376,809.8606527460125
时刻误差(ms),208.4688625131278,163.3703105371991,555.7984503704193,867.7159664876743

#  误差明细_原7台 
试验序号,残骸,水平误差(m),高程误差(m),3D误差(m),时刻误差(ms)
23,#4,79.17275579621098,391.0007573197854,398.9359816875537,520.2625444416817
24,#1,105.65366582308272,428.28945869751806,441.128731248905,455.3626244052076
24,#2,302.19916257899166,767.0364208635656,824.4205266698742,1051.1084431129714
24,#3,79.14503575794005,355.5002992089376,364.2037883146876,218.97453816642098
24,#4,27.504428730963195,287.9799233559406,289.2903901893564,303.21154599960744
25,#1,230.73759138473727,692.0340994691087,729.4868270956305,984.5626556740079
25,#2,147.66355336401602,71.03743554484754,163.86226606780457,307.9584239054842
25,#3,39.271221091272196,379.482489533053,381.50909382110837,95.70455679737222
25,#4,124.32849713383226,331.8201960963961,354.3475945128005,441.9892899145541
26,#1,222.49326644966598,998.1931982581136,1022.689060596721,975.9268449128626
26,#2,434.21038495896454,1610.4274071236177,1667.9373765286005,1938.1417603349096
26,#3,40.89123314464232,291.4388174315809,294.2935222766683,94.92021889312952
26,#4,76.50124079666452,178.56996548224015,194.26701319513225,91.04194095067975
27,#1,208.90087806376383,142.83166168216667,253.0621671342843,352.7882651341585
27,#2,229.03312229111728,859.9956660341668,889.9711886931891,1019.3476202269967
27,#3,71.78849449308797,52.587993064908005,88.98924067649378,139.68966306909357
27,#4,110.42150972332458,66.68452534718381,128.99509963699188,91.97390831017138
28,#1,360.7884040663786,1556.1966829608755,1597.471874108335,2131.9693284804675
28,#2,118.53197490589822,595.3540513761509,607.0389407320498,618.1761173004716
28,#3,143.97531433434858,112.7227864226843,182.853268268764,116.8525210345166
28,#4,73.25350644952688,175.17549069679808,189.87503455698138,179.7607033603441
29,#1,68.93307925655388,48.20865655765556,84.11803601418858,255.73855652752366
29,#2,257.9420601892006,725.3092196441357,769.8100873042872,898.5327807246648
29,#3,101.16607535168593,172.0243881160568,199.56694342692816,121.63111647577907
29,#4,40.514936182591306,112.5389165141496,119.60964753755519,163.94724299447816
30,#1,100.40349272629518,651.5661235772623,659.256607661341,677.9581292479388
30,#2,132.54418938379823,967.0982963237348,976.1388614801065,981.7371283634646
30,#3,19.155743139291314,659.7251482666688,660.0031922276563,542.2489031816013
30,#4,76.40735303527156,417.08409641060825,424.0250311909784,434.9639264812737
31,#1,104.42571451171824,203.33347887001764,228.58091232792557,105.2057275216054
31,#2,376.72022001762144,1654.227818694946,1696.5812094663681,2064.715225798041
31,#3,55.441680702516415,261.31426729300256,267.1309159382316,205.02519942221653
31,#4,41.32562000636764,220.71564312896953,224.55111220108736,202.92411195674555
32,#1,302.39988943932514,1075.1548346424897,1116.87224497166,1523.9399712016545
32,#2,214.90346157520824,314.58971320284036,380.98580741289084,514.7586161578968
32,#3,50.169247401268954,204.47436834381188,210.53911915463738,138.20219427233303
32,#4,102.58558964016272,232.44358938801452,254.07444863544183,283.637261457649
33,#1,210.5257378800419,521.2655275776451,562.1733154025873,690.6365450407072
33,#2,142.501207772639,533.2177942682047,551.93098331305,659.3902488413423
33,#3,37.812897509087875,360.3556740643071,362.3341372937056,221.27287503835015
33,#4,40.41922015194543,218.5097427260589,222.2166083439757,191.42879219653076
34,#1,46.70005126139899,873.43949634624,874.6870575042201,626.0727670280488
34,#2,360.89033308723646,1187.4284617799167,1241.059299292679,1696.859679944275
34,#3,28.827305107904287,333.6079054896727,334.85108350577366,192.9625437338771
34,#4,69.81038453094898,358.7566297273188,365.48571676833484,464.7004516996276
35,#1,37.83798527791785,102.96970299883469,109.70174504336818,62.75604169464444
35,#2,62.68386381613746,320.4534416068127,326.5266834740631,531.5623908154432
35,#3,46.49190439121789,346.20872554494053,349.3164451001042,25.757415761072266
35,#4,27.325053617287484,489.2290393060939,489.9915422285891,418.43618569552456
36,#1,95.24601518967071,444.7077319752898,454.79310712467617,587.3629056660725
36,#2,148.89496982269645,246.0477029223257,287.5920446602352,293.3527446048405
36,#3,44.64345111594663,136.33778350905595,143.46089690122577,244.2584831490926
36,#4,39.73280349645185,54.85336299049777,67.7317289389173,63.52225909359532
37,#1,127.397182845952,55.714704193900616,139.04736768633478,106.6488195523192
37,#2,195.3722230361796,749.3840927669098,774.4332276098329,768.1351137762267
37,#3,82.96240761392843,623.3210934536619,628.8178962317853,572.5628063279213
37,#4,71.31011271898758,4.805104802491769,71.4718210776642,133.21465846017588
38,#1,249.49215285048794,1588.9970694867498,1608.4644917347257,1605.266152689314
38,#2,61.45263687351512,177.43471822286847,187.77514694319066,116.1131793884298
38,#3,68.54778278408024,141.27384892531882,157.02579060392358,222.25280888876318
38,#4,187.8758480465584,119.24436220616917,222.52314980057596,4.359845201637569
39,#1,28.503023221522273,271.61204730473946,273.103508900634,31.094322778887573
39,#2,237.260003790101,757.2270594578476,793.5270184270082,956.9993728638071
39,#3,21.04442708247564,443.905143993612,444.40369572632835,211.9942401502808
39,#4,121.45295134812417,325.96097510708023,347.85252145690765,591.451406269627
40,#1,20.352353133628885,653.9036454811976,654.2202961171992,514.473437728892
40,#2,349.15006831220074,1544.8373325157427,1583.8018039315305,1866.4048390444616
40,#3,73.1573610171904,398.20336789074827,404.867782949612,618.8007573683336
40,#4,27.64287413150645,164.36929731697273,166.6775161523764,116.73275268459982
41,#1,169.27118362531277,122.52581285563429,208.9624569673899,487.3396496199831
41,#2,125.9477533169528,524.1459360292047,539.0656720859891,362.6770713057788
41,#3,99.52361739261363,119.84846105253564,155.783837529997,410.567449155895
41,#4,106.6880585323433,143.46243421251165,178.78426067073116,215.1335330866715
42,#1,149.5984016576236,324.7628438134343,357.56200371446744,396.5711748842136
42,#2,260.1034127334801,772.821072080591,815.4178038082055,935.6529876987363
42,#3,65.19448752754997,195.2203581714166,205.81863241348208,239.76870049934183
42,#4,86.36580629569804,74.29309776510308,113.92329381053376,361.63656293724955
43,#1,197.79171989411768,958.6525701846222,978.844377202145,902.4936815532278
43,#2,311.93864882622245,1201.6988834015701,1241.5256449224519,1412.4697218160572
43,#3,88.28224596591994,322.30916301489015,334.1810160917975,208.69707004293934
43,#4,49.05208613991953,187.89270311857763,194.1900487663671,111.59054269725033
44,#1,421.79458080001575,1491.3777769076678,1549.876879576671,2095.286162296194
44,#2,21.826156579088575,254.18637986655085,255.12172941691458,285.76263880877127
44,#3,110.68205587079426,27.811530293107353,114.12273528543753,110.92626460323629
44,#4,60.51582985960296,193.49811203591344,202.74043756749495,134.834899858264
45,#1,394.14701622453356,1121.5286083180072,1188.771756761755,1535.9863924801953
45,#2,100.91840859221283,408.1731069409907,420.46380393875313,475.66523101576587
45,#3,61.622288985808055,581.1456124812194,584.4035672427249,354.11645993050377
45,#4,129.27509263639345,63.82048779571414,144.17040000856974,206.84269167082368
46,#1,63.1509107850722,495.5799872926309,499.5873910918373,427.0659196682285
46,#2,227.79635478736904,1521.142397001302,1538.10447343777,1451.9103038455405
46,#3,30.449302630940345,636.7128500345152,637.440517562059,530.7820338028026
46,#4,103.22812399746088,239.43666027777545,260.74117409609477,378.5762647411808
47,#1,111.92430429234908,393.87315553754706,409.4668637929461,552.8139827898731
47,#2,64.61435774472456,367.20004037968283,372.84163512355207,279.86663498504424
47,#3,140.21585652489838,103.84799566062793,174.48464867643997,70.81386073413398
47,#4,31.484939137902074,108.98495727582485,113.44171324927514,60.178686111390434
48,#1,61.27442021789969,229.2654028707875,237.31240912886173,175.8606169048935
48,#2,236.46109206070608,1051.4136817146482,1077.6755440090924,1205.1905156552928
48,#3,64.65018281579708,242.16754382187173,250.6486892422024,351.52841016662427
48,#4,110.13578768294435,262.36227228932876,284.5414796639718,173.9814648390947
49,#1,240.8541060009806,1072.2859302029028,1099.0031012188438,1347.1238819511716
49,#2,115.19497904481756,639.0036428072726,649.3038878045475,673.9035438660999
49,#3,127.17991533080371,461.4865932401626,478.6905123396136,447.82183722244184
49,#4,136.11466766999916,385.2474720566843,408.5863647761389,487.91965241927926
50,#1,353.7526250509615,826.7257733649021,899.231018190677,1036.924072737225
50,#2,397.9327340374875,1811.2409364465657,1854.439050138446,1924.0060896074845
50,#3,97.15705325749875,361.76546443922234,374.58476244851005,380.88816124011873
50,#4,50.68761285351281,104.91978809861757,116.52208387874983,174.16522881507746
51,#1,33.90431469949494,761.6993654664238,762.4535565575094,638.2343150920207
51,#2,99.5885044087876,454.4172964162135,465.20205233059744,511.0534638120647
51,#3,25.710527726648305,318.86766152797645,319.90251140668295,218.90144602631878
51,#4,142.55824103650062,173.12628876157032,224.26672501237368,425.7329396036962
52,#1,212.56983253404795,1289.1791449355824,1306.586698784429,1267.411736429903
52,#2,69.70141752662173,504.17212244641996,508.96740235239855,514.4111651914241
52,#3,80.37115438113376,0.01811298147367779,80.37115642216513,52.23353120567076
52,#4,98.81984255752069,17.457342019477437,100.34998790970624,150.7821117976995
53,#1,46.84396160641642,372.05343597293904,374.99082116533634,59.68431580338418
53,#2,319.28254885092053,617.0663337298938,694.7749320633216,807.6571198312781
53,#3,69.64237938412339,411.1107934667489,416.96779912979133,349.00882615666615
53,#4,80.83361971318898,82.98259847123518,115.84552526953597,99.49082640390827
54,#1,134.56499333049933,1270.967027812827,1278.0707817712635,1179.0349206328888
54,#2,202.74376850791373,135.51744882892672,243.8647465417896,435.22219896371615
54,#3,105.32078179131325,433.3631664827408,445.9776913042637,171.27023767852558
54,#4,121.77249704808365,19.11568523034839,123.26374348993016,132.6612189414078
55,#1,292.9146905736342,955.8181624872013,999.6936409191858,1104.4854334333518
55,#2,131.50196632864717,430.932302720179,450.55012670735834,424.0661911966246
55,#3,41.78798266837883,440.27046690757925,442.249160006563,462.0593959333643
55,#4,98.4893994209708,505.59217436319705,515.0957275843093,695.8286413250079
56,#1,321.6222099551994,1527.7546260711479,1561.2415070764225,1717.2977013333916
56,#2,180.55520717333638,834.7188669872248,854.0232840747626,1017.0056080776977
56,#3,102.58177037675956,365.4778149268004,379.60117599567417,108.75282858283164
56,#4,28.00264586696327,123.93609745410322,127.06023936583594,6.345297670934613
57,#1,29.705300885026052,221.228647728145,223.21406648393287,377.03120372201226
57,#2,45.40318934710653,288.3686629019612,291.92111151260394,300.4800678388602
57,#3,71.68817800828147,142.06744980739495,159.1299945356743,260.85713803054136
57,#4,227.6936391389791,133.26060396607136,263.82339144540185,475.4024676914721
58,#1,272.4621114531361,1076.6139006992835,1110.5553085535307,1296.384840678522
58,#2,293.7372790364914,772.019689893179,826.0121008063512,1104.8765595039836
58,#3,54.37636932900625,142.46125510347701,152.48606082872772,0.7470794318997775
58,#4,85.36019609918692,120.87508934292237,147.97685731813306,160.54478229018974
59,#1,154.26387061462904,618.4995697318736,637.4472994181714,940.8360419973008
59,#2,223.00091124244804,511.73878506034816,558.2167952955226,831.7165291068651
59,#3,43.77233893287496,72.32934289202058,84.54319309587241,91.56964455333316
59,#4,96.60352368816821,480.6113462380563,490.2239354843124,596.4015743789872
60,#1,119.71270175296046,172.45814422082367,209.9355674226825,623.6553999420629
60,#2,96.29109363498148,385.3555551505324,397.2038250052431,489.4444583473021
60,#3,49.34191560442442,714.967932104275,716.6685207074308,552.9233951518364
60,#4,69.1014904912352,221.7739363714718,232.29010922079289,318.8091844247012
61,#1,246.24430108194127,833.0605148356481,868.6921648049836,1033.508333273863
61,#2,356.54185901792516,894.8528577452744,963.2672185052506,1142.3945805205183
61,#3,24.147385658576297,647.5502837431159,648.0003597297874,713.3761988747196
61,#4,160.51929581162554,99.95851391677388,189.09825179601745,137.09738449767173
62,#1,205.58907171348807,669.2141293374807,700.0817218817643,759.2255487004387
62,#2,51.570978236003384,311.307513627331,315.5502081080746,414.8996798231135
62,#3,52.24935484918736,454.83518036954047,457.8264260437013,235.80896540404694
62,#4,66.52849599332059,327.58533055466614,334.27262761665537,264.7787319040873
63,#1,115.98220414808851,701.9616568112106,711.4787694036896,599.7431340352009
63,#2,271.40297986521404,1096.1203882918635,1129.2207415332148,1341.2661957428593
63,#3,23.600790625933865,490.89731141100674,491.46430965912884,224.77013390935417
63,#4,119.70371997307932,73.19101491286165,140.3064689861737,45.44148343525478
64,#1,281.71075609725904,1116.6048518616408,1151.5933940857103,1373.6696607489805
64,#2,176.46699184043203,727.365022204498,748.4654131860476,869.5233936178842
64,#3,53.72835329913833,344.43688657177154,348.6022156835674,426.2196343605762
64,#4,132.45419328789413,246.03857226386208,279.4263630389704,381.00500484732436
65,#1,261.69819567826187,804.0123052379131,845.5304445111607,1067.8905629820167
65,#2,247.32035796488717,1008.1503786936119,1038.0436144613352,1113.2573532774845
65,#3,71.94336531786728,464.1952740281922,469.7372672498623,475.19943155204203
65,#4,55.62085341679838,253.25192096861065,259.2878994652554,42.65235910970944
66,#1,69.71604158462866,728.387239800104,731.7159951496509,723.1988935966775
66,#2,185.27542591525125,767.9566650458455,789.9901409741863,1014.118799767461
66,#3,89.21389026259929,303.0485054821165,315.90744671617273,508.91667027381794
66,#4,54.93428361805883,139.87282965086342,150.27369693718452,65.0424549982116
67,#1,277.90519202806377,235.09946626730198,364.0096905239272,605.0190700030278
67,#2,197.92806751302157,555.4959087823154,589.7043535394067,504.7950821023104
67,#3,81.23353909045748,378.05503691468766,386.6839779583927,345.8845744179762
67,#4,95.98588826917886,114.34878696825217,149.29479504635788,369.23662361776974
68,#1,66.65509511609099,332.35379729700435,338.9718989572342,190.5463039221118
68,#2,76.96235799075464,22.178565889913443,80.09427777582059,124.58632124612912
68,#3,116.0592410045372,116.45306423330476,164.4112635797057,27.992975597625147
68,#4,31.090265587664078,210.96730682779526,213.24588897440577,173.7262825594854
69,#1,208.3173698844625,512.3900398293517,553.1181424541276,659.6552638078297
69,#2,369.52338273089117,1020.7266306053225,1085.555334753496,1307.4874438297304
69,#3,133.83952734908647,7.076779717519457,134.02648951680095,50.340383086519225
69,#4,43.3907972210855,196.45492432044375,201.18970792073992,5.5633623402577825
70,#1,135.62378224235113,158.52304983563045,208.62254825140656,336.9379223444611
70,#2,229.4858117494691,455.7209677009578,510.2404709513056,553.6275210110038
70,#3,194.48251452520748,122.48999977842323,229.8417901552406,60.37407240457071
70,#4,23.48522112413423,251.03928961397287,252.13544086688333,189.45050442756008
71,#1,200.44274405270758,1182.7717343944041,1199.6358903124424,1307.5354699522172
71,#2,48.834045955153634,70.64154614713152,85.87777411185836,236.10509723652308
71,#3,163.80543457301283,90.66622085768904,187.2233532449113,222.35893746694302
71,#4,59.029580828921105,238.22249294069297,245.42707176616977,199.87883953190178
72,#1,124.33767537429175,265.04764005850666,292.76288873090874,225.30488981483998
72,#2,13.29830186512013,306.2127081018625,306.5013334972171,261.20272671392183
72,#3,103.84939984141444,86.93534121763696,135.43430658459081,15.559108544476175
72,#4,163.9723871227755,296.1559204588593,338.5192357334743,559.4181423625208
73,#1,169.35644165380896,511.4055688781518,538.7181639867233,198.48529767393865
73,#2,61.71154609754845,74.14863123239957,96.46934453694722,133.79498137114075
73,#3,102.2164100072672,302.8906770559679,319.6732030092551,293.3353686201361
73,#4,63.29026061317324,89.94034798181929,109.97692159527895,172.50832081106006
74,#1,226.23343287729784,73.24273030034237,237.79416244579159,363.84435169094684
74,#2,283.80533811562043,644.2094793831493,703.9540633237583,775.4317286165638
74,#3,83.0786664080129,443.5872893139767,451.30006431758414,195.98372074055703
74,#4,106.43873278536118,96.72023517152047,143.81935797585717,220.37891771690354
75,#1,99.75459101848556,86.52916269760863,132.05405872753227,137.0790571393492
75,#2,202.25868188467845,976.6431416032428,997.3667331720962,1103.4736643550236
75,#3,97.70700127065165,111.71865146985328,148.41736820044235,36.7585085898412
75,#4,77.5449619536324,399.5165854321003,406.97263195418316,361.9447004733356
76,#1,89.51391427294412,999.9011742221828,1003.8999447451743,807.9191017302172
76,#2,215.43283715926873,889.1290739800606,914.8561731349536,985.1844999311386
76,#3,57.80960535869328,127.47275794635425,139.96876255142672,0.07525865333768422
76,#4,18.817785424835193,11.181126741403205,21.88896168168928,7.294653782347282
77,#1,241.54565774680233,1084.6552872507673,1111.2251783222787,1313.784319448885
77,#2,49.461692778218705,12.527207453566007,51.02342578729473,242.7170226820383
77,#3,146.2033668126739,85.21411628556234,169.2243188247204,258.0488702329955
77,#4,108.52654520665462,376.83534000685904,392.15160906539336,447.76686614194364
78,#1,95.38882819081442,19.230581310501293,97.30798426211753,37.63933263584107
78,#2,112.20437252842102,59.77044955846941,127.1311443153023,21.779970026138074
78,#3,53.98267376774456,132.77440519544325,143.32889360529677,128.23711864438536
78,#4,65.19712805037324,381.4828535501383,387.0139959468818,423.02825324856565
79,#1,101.1440819996533,390.1967183265915,403.09255055929026,529.0251941089323
79,#2,119.27085309586539,883.806980138912,891.8185435056162,915.4978634584214
79,#3,87.20028762179261,22.901795008634508,90.15754198036277,91.66682804065296
79,#4,100.79004836041233,6.336099202015248,100.98900931087519,44.02524838384636
80,#1,104.88064077247503,98.94049704675308,144.18450251224473,52.25971703699983
80,#2,88.25755361559047,464.54163491085274,472.85127295573267,464.46003659473155
80,#3,59.34248286594409,210.5740483643367,218.77605014544184,140.77357590985784
